who,color,hierarchy,polity,degree,clustering-coeff,resources
606,105,129,(turtle 317),127,0.0213723284589426,106393004837.88847
268,105,22,(turtle 317),33,0.0719696969696969,804996023.0284195
150,105,111,(turtle 317),111,0.0167076167076167,5108962183.198741
573,105,97,(turtle 317),92,0.0157668418537983,2392857757.5116982
22,105,83,(turtle 317),85,0.0263305322128851,1875794544.9802864
677,105,0,(turtle 317),17,0.0735294117647058,3788266174955.444
710,105,0,(turtle 317),18,0.0457516339869281,2796468821124.328
211,105,0,(turtle 317),12,0.0454545454545454,3105956908317.719
8,105,0,(turtle 317),15,0.0285714285714285,2210222008657.217
499,105,0,(turtle 317),20,0.1,6504796711955.635
255,105,0,(turtle 317),16,0.0583333333333333,1801047823228.812
36,105,0,(turtle 317),13,0.0384615384615384,3022198470092.8145
267,105,0,(turtle 317),14,0.0439560439560439,1810376810858.8047
837,105,0,(turtle 317),14,0.0549450549450549,3021902886408.7344
682,105,0,(turtle 317),15,0.0761904761904762,7053055125187.371
855,105,0,(turtle 317),11,0.0909090909090909,1798587191390.568
670,105,0,(turtle 317),10,0.0666666666666666,1920364334814.516
243,105,0,(turtle 317),9,0.0277777777777777,2411563575287.5444
156,105,0,(turtle 317),11,0.0727272727272727,4287762226670.652
250,105,123,(turtle 317),113,0.0124841972187104,21367094429.91239
936,105,0,(turtle 317),9,0.0555555555555555,3309962254102.049
513,105,0,(turtle 317),13,0.0256410256410256,1826634438164.032
815,105,4,(turtle 317),17,0.1029411764705882,228123522.44273117
341,105,133,(turtle 317),130,0.0135957066189624,224210587382.72845
845,105,0,(turtle 317),13,0.0897435897435897,3179137821180.2075
289,105,31,(turtle 317),40,0.0538461538461538,684950465.192575
201,105,0,(turtle 317),11,0.0545454545454545,2329142788962.202
203,105,0,(turtle 317),17,0.088235294117647,3073692586127.2725
233,105,0,(turtle 317),15,0.0380952380952381,2280906839620.6978
649,105,0,(turtle 317),14,0.0109890109890109,3488412763611.252
955,105,0,(turtle 317),12,0.0757575757575757,2959106776337.7207
721,105,0,(turtle 317),17,0.0441176470588235,3336237658042.793
419,105,0,(turtle 317),13,0.0769230769230769,2020845694173.4624
398,105,17,(turtle 317),23,0.0434782608695652,329033359.7877816
259,105,98,(turtle 317),92,0.013616817964644,1863030490.0281205
244,105,0,(turtle 317),17,0.0808823529411764,1739975689594.8958
620,105,6,(turtle 317),17,0.0514705882352941,247112964.72850427
408,105,0,(turtle 317),18,0.0522875816993464,3016133502029.428
945,105,0,(turtle 317),17,0.0514705882352941,2795948997356.103
80,105,0,(turtle 317),11,0.0181818181818181,1964241064363.906
688,105,0,(turtle 317),12,0.0606060606060606,2527566150821.072
440,105,104,(turtle 317),102,0.0112599495243642,3056788896.251721
632,105,0,(turtle 317),11,0.0727272727272727,2227794161168.145
575,105,0,(turtle 317),14,0.0549450549450549,2275753142413.292
782,105,0,(turtle 317),15,0.0476190476190476,2158128874655.3733
6,105,0,(turtle 317),15,0.0666666666666666,2579249120432.329
705,105,0,(turtle 317),18,0.0718954248366013,4630315106465.942
198,105,0,(turtle 317),13,0.0512820512820512,2451520933293.426
